Depth,SiteName,Big Dig Site Code,Latitude,Longitude,Elevation,SO,FT,CP,P,Depth,Interval,Car %?,Nit,Phos,BicarP,NaOHP,pH,water,bio.nmol,bio,bio.C,AG,AG.bio,AG.C,BG,BG.bio,BG.C,BX,BX.bio,BX.C,CBH,CBH.bio,CBH.C,NAG,NAG.bio,NAG.C,AP,AP.bio,AP.C,Cenz,Cenz.bio,logNCEnz,logCPEnz,logNPEnz,EnzTotal,EnzTotal.bio,Act,AMF,Ana,Euk,Fung,GramN,GramP,Gen,Act.nor,AMF.nor,Ana.nor,Euk.nor,Fung.nor,GramN.nor,GramP.nor,Bact.total,Fung.total
140,TABDYS-4-MS valley,TABDYS-16,18.26287046,-65.7932011,363,Inceptisol,Tabonuco,valley,P6,140,30,0.03,0.003,0,0,0,4.9,0.07,0.62,0.13,3.9,0.52,4.13,15.6,1.22,9.69,36.6,0.48,3.81,14.4,0.91,7.23,27.3,0.55,4.37,16.5,36.91,293.21,1107.3,3.14,24.94,0.308,0.391,0.121,40.6,65.55,0.018,0,0,0.009,0,0,0.043,0.056,0.25,0,0,0.139,0,0,0.611,0.061,0
0,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,0,0,7.45,0.5,154.72,30.24,107.01,4.8,1.04,490.69,106.93,14.35,20.99,0.2,2.82,521.75,4.88,70.03,165.67,1.55,22.24,118.4,1.11,15.89,460.57,4.31,61.82,2414.1,22.58,324.04,826.8,7.73,0.913,0.863,0.788,3701.47,7.54,10.193,2.294,0.186,1.874,0.58,41.189,28.935,21.683,0.124,0.029,0.002,0.019,0.007,0.455,0.365,80.503,2.874
20,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,20,20,4.2,0.3,26.72,4.11,21.18,4.1,0.67,290.43,62.84,14.96,36.54,0.58,8.7,249.48,3.97,59.4,104.72,1.67,24.93,36.12,0.57,8.6,285.84,4.55,68.06,2411.86,38.38,574.25,426.85,6.79,0.934,0.778,0.727,3124.55,10.76,7.143,1.019,0.138,0.978,0.166,20.994,20.093,12.31,0.145,0.021,0.003,0.016,0.003,0.387,0.424,48.367,1.185
50,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,50,30,1.8,0.11,5.72,0.8925,4.0725,4.1,0.67,58.16,12.45,6.92,17.65,1.42,9.81,45.67,3.67,25.37,26.16,2.1,14.53,32.98,2.65,18.32,30.14,2.42,16.74,1337.45,107.4,743.03,122.47,9.83,0.714,0.669,0.478,1490.06,25.62,1.683,0.146,0,0.089,0.056,2.586,4.561,3.332,0.189,0.017,0,0.008,0.006,0.262,0.519,8.83,0.202
80,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,80,30,1.09,0.06,9.63,0.84,8.625,3.7,0.54,26.51,5.64,5.17,14.91,2.64,13.68,14.6,2.59,13.39,11.38,2.02,10.44,10.27,1.82,9.42,10.45,1.85,9.59,201.57,35.72,184.93,51.16,9.07,0.617,0.745,0.459,263.18,9.93,0.512,0.06,0.141,0.02,0.062,1.371,1.499,1.978,0.142,0.017,0.037,0.005,0.016,0.36,0.423,3.523,0.122
110,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,110,30,0.72,0.04,13.09,1.008,10.2675,4.2,0.49,8.91,1.86,2.59,15.03,8.06,20.94,23.07,12.38,32.15,16.63,8.92,23.17,14.13,7.58,19.69,4.09,2.19,5.7,161.34,86.56,224.81,68.87,36.95,0.383,0.834,0.32,234.3,26.31,0.263,0,0,0.007,0,0.456,0.505,0.632,0.212,0,0,0.007,0,0.365,0.414,1.224,0
140,COOX-2-MS ridge,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,ridge,P7,140,30,0.59,0.03,7.92,1.914,5.622,3.65,0.49,12.07,2.55,4.33,5.93,2.33,10.07,26.42,10.37,44.86,24.26,9.52,41.19,6.73,2.64,11.43,6.02,2.36,10.22,185.42,72.79,314.85,63.34,24.86,0.468,0.797,0.373,254.78,21.11,0.473,0.029,0,0.011,0.018,0.514,0.76,0.742,0.264,0.016,0,0.006,0.009,0.277,0.428,1.747,0.047
0,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,0,0,8.36,0.43,130.36,28.29,94.53,4.1,0.88,526.89,114.83,13.74,109.06,0.95,13.05,974.57,8.49,116.58,438.1,3.82,52.4,237.77,2.07,28.44,344.4,3,41.2,5717.18,49.79,683.87,1759.51,15.32,0.782,0.864,0.676,7821.09,14.84,10.376,1.937,0.133,3.639,0.331,37.456,36.062,24.9,0.119,0.023,0.001,0.034,0.004,0.392,0.426,84.027,2.268
20,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,20,20,5,0.29,37.72,8.55,27.315,4.2,0.72,331.25,72.14,14.43,65.01,0.9,13,438.06,6.07,87.61,188.13,2.61,37.63,58.28,0.81,11.66,183.95,2.55,36.79,3250.75,45.06,650.15,749.48,10.39,0.788,0.819,0.645,4184.18,12.63,7.624,1.162,0.186,1.454,0.725,23.402,22.175,15.416,0.138,0.022,0.003,0.021,0.012,0.387,0.416,53.387,1.887
50,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,50,30,2.07,0.13,17.45,1.8375,14.8425,4.1,0.61,85.25,18.32,8.85,43.64,2.38,21.08,142.41,7.78,68.8,84.33,4.6,40.74,38.52,2.1,18.61,44.38,2.42,21.44,816.73,44.59,394.56,308.9,16.87,0.665,0.855,0.569,1170.01,13.72,2.887,0.172,0.102,0.174,0.092,4.252,6.437,4.198,0.21,0.013,0.007,0.01,0.006,0.279,0.475,13.679,0.264
80,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,80,30,1.44,0.08,13.65,0.6975,12.8175,4.1,0.58,31.9,6.86,4.76,43.65,6.36,30.31,93.42,13.61,64.88,58.44,8.52,40.58,26.99,3.93,18.74,36.92,5.38,25.64,595.62,86.8,413.63,222.5,32.42,0.672,0.846,0.569,855.04,26.8,1.032,0.063,0,0.183,0.103,1.44,2.222,1.818,0.209,0.013,0,0.033,0.019,0.266,0.459,4.695,0.167
110,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,110,30,0.56,0.02,17.38,1.2075,15.93,4,0.43,3.27,0.69,1.24,20.2,29.32,36.33,22.45,32.58,40.38,22.08,32.04,39.71,10.81,15.69,19.44,9.73,14.12,17.5,287.87,417.77,517.75,75.54,109.63,0.547,0.766,0.419,373.14,114.22,0.181,0,0,0.011,0,0.125,0.196,0.177,0.348,0,0,0.02,0,0.238,0.393,0.502,0
140,COOX-1-MS slope,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,slope,P8,140,30,0.34,0.02,12.47,1.398,10.788,4.1,0.57,0.16,0.03,0.09,26.45,788.34,77.49,19.77,589.24,57.92,21.48,640.21,62.93,16.44,489.99,48.16,8.52,253.94,24.96,260.65,7768.67,763.63,84.14,2507.79,0.507,0.798,0.405,353.31,2238.17,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0
0,COOX-4-MS valley,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,valley,P9,0,0,8.33,0.55,194.3,25.53,160.14,4,0.82,817.4,178.28,21.4,69.85,0.39,8.39,1848.92,10.37,221.96,492.73,2.76,59.15,504.15,2.83,60.52,910.01,5.1,109.24,11621.46,65.19,1395.13,2915.65,16.35,0.854,0.852,0.728,15447.12,18.9,16.262,5.059,0.153,3.223,3.351,81.669,30.463,38.096,0.119,0.039,0.001,0.02,0.023,0.562,0.237,128.548,8.41
20,COOX-4-MS valley,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,valley,P9,20,20,3.85,0.28,34.84,3.99,29.265,3.8,0.67,439.7,107.3,27.87,68.41,0.64,17.77,493.28,4.6,128.12,268.89,2.51,69.84,137.02,1.28,35.59,269.09,2.51,69.89,8035.62,74.89,2087.17,967.58,9.02,0.814,0.765,0.623,9272.29,21.09,13.429,2.171,0.187,1.583,0.486,32.366,36.162,20.919,0.161,0.032,0.003,0.015,0.006,0.258,0.526,82.145,2.656
50,COOX-4-MS valley,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,valley,P9,50,30,2.78,0.18,29.42,1.98,26.55,3.95,0.63,163.85,35.69,12.84,42.67,1.2,15.35,166.02,4.65,59.72,171.89,4.82,61.83,38.21,1.07,13.74,56.98,1.6,20.5,1216.54,34.08,437.6,418.78,11.73,0.672,0.85,0.571,1692.3,10.33,5.155,0.423,0,1.335,0.135,9.761,11.224,7.661,0.19,0.016,0,0.04,0.005,0.326,0.423,26.14,0.558
80,COOX-4-MS valley,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,valley,P9,80,30,1.41,0.08,14.12,0.7725,13.125,3.95,0.61,21.05,4.56,3.23,53.45,11.71,37.91,69.51,15.23,49.3,59.18,12.96,41.97,36.43,7.98,25.84,60.02,13.15,42.57,885.46,193.98,627.99,218.58,47.88,0.763,0.794,0.606,1164.06,55.31,0.787,0.023,0.058,0.051,0.038,0.927,1.472,1.208,0.237,0.007,0.015,0.013,0.011,0.264,0.452,3.244,0.061
110,COOX-4-MS valley,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,valley,P9,110,30,0.86,0.05,10.25,1.0575,8.9775,4.35,0.56,4.07,0.84,0.97,39.77,47.19,46.08,29.94,35.52,34.69,23.82,28.26,27.6,24.58,29.16,28.48,18.14,21.52,21.02,402.46,477.53,466.29,118.11,140.14,0.618,0.797,0.492,538.71,132.51,0.13,0,0,0.015,0,0.152,0.248,0.297,0.232,0,0,0.03,0,0.274,0.464,0.53,0
140,COOX-4-MS valley,COOX-1,18.27753979,-65.84832733,791,Oxisol,Colorado,valley,P9,140,30,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
0,TABOX-10-MS ridge,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,ridge,P10,0,0,6.31,0.41,113.9,16.23,113.01,3.8,0.845,512.15,111.36,17.65,30.4,0.27,4.82,588.08,5.28,93.2,190.33,1.71,30.16,43.2,0.39,6.85,675.6,6.07,107.07,10772,96.73,1707.13,852.01,7.65,0.966,0.727,0.702,12299.61,24.02,11.979,3.745,0.074,1.345,1.439,44.11,23.517,25.147,0.141,0.047,0.001,0.014,0.016,0.486,0.295,79.68,5.185
20,TABOX-10-MS ridge,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,ridge,P10,20,20,3.25,0.25,40.22,6.75,32.1225,3.8,0.76,326.73,70.65,21.74,34.5,0.49,10.62,1062.85,15.04,327.03,477.55,6.76,146.94,161,2.28,49.54,180.65,2.56,55.58,4385.6,62.07,1349.42,1735.89,24.57,0.697,0.89,0.62,6302.14,19.29,10.524,1.879,0.249,0.621,0.501,21.311,19.943,15.621,0.192,0.036,0.004,0.01,0.009,0.363,0.386,52.028,2.38
50,TABOX-10-MS ridge,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,ridge,P10,50,30,1.41,0.11,19.93,2.16,17.3325,3.5,0.44,69.95,14.94,10.6,15.41,1.03,10.93,135.04,9.04,95.77,47.83,3.2,33.92,12.61,0.84,8.94,15.75,1.05,11.17,1070.5,71.65,759.22,210.89,14.11,0.526,0.768,0.404,1297.14,18.54,1.616,0.259,0.019,0.023,0.138,3.15,5.537,4.199,0.153,0.025,0.002,0.002,0.012,0.272,0.534,10.321,0.397
80,TABOX-10-MS ridge,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,ridge,P10,80,30,0.78,0.07,19.37,1.17,17.9625,3.5,0.42,32.39,6.9,8.85,37.82,5.48,48.49,87.19,12.64,111.78,45.97,6.66,58.94,16.57,2.4,21.24,22.73,3.3,29.14,280.3,40.63,359.36,187.55,27.19,0.604,0.929,0.562,490.58,15.15,1.186,0.079,0,0.017,0.073,1.221,2.151,2.169,0.245,0.017,0,0.004,0.014,0.243,0.477,4.559,0.152
110,TABOX-10-MS ridge,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,ridge,P10,110,30,0.5,0.04,21.34,0.99,20.1525,4.3,0.41,12.37,2.62,5.25,1.66,0.63,3.33,8.84,3.38,17.71,3.49,1.33,6.99,1.07,0.41,2.14,3.89,1.49,7.79,244.8,93.6,490.39,15.06,5.76,0.572,0.504,0.288,263.75,21.32,0.42,0.031,0,0.016,0.02,0.464,0.879,0.785,0.231,0.017,0,0.009,0.01,0.239,0.494,1.763,0.051
140,TABOX-10-MS ridge,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,ridge,P10,140,30,0.32,0.03,17.94,1.05,15.96,4.3,0.29,7.25,1.56,4.93,6.4,4.1,20.23,18.8,12.04,59.43,5.38,3.45,17.01,2.06,1.32,6.51,0,0,0,129.94,83.22,410.79,32.64,20.9,0,0.721,0,162.58,22.41,0.275,0,0.27,0.017,0,0.255,0.384,0.361,0.227,0,0.202,0.014,0,0.219,0.338,1.184,0
0,TABOX-3-MS slope,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,slope,P11,0,0,5.24,0.42,161.29,18.78,137.79,4.3,1,264.7,57.27,10.93,11.63,0.2,2.22,404.32,7.06,77.16,145.71,2.54,27.81,44.97,0.79,8.58,120.37,2.1,22.97,1941.2,33.9,370.46,606.64,10.59,0.749,0.847,0.634,2668.21,10.08,6.837,1.596,0.055,0.442,0.312,21.69,13.773,12.566,0.155,0.038,0.001,0.009,0.007,0.456,0.334,42.355,1.908
20,TABOX-3-MS slope,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,slope,P11,20,20,2.25,0.2,44.48,5.025,38.0175,4.3,0.54,111.54,24.05,10.69,6.93,0.29,3.08,120.53,5.01,53.57,37.47,1.56,16.65,7.66,0.32,3.4,2.1,0.09,0.93,621.61,25.85,276.27,172.59,7.18,0.219,0.801,0.176,796.3,7.14,4.375,0.377,0.071,0.137,0.27,6.803,6.825,5.19,0.232,0.021,0.004,0.007,0.014,0.336,0.387,18.073,0.647
50,TABOX-3-MS slope,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,slope,P11,50,30,0.67,0.05,15.48,1.0575,13.965,4.1,0.42,27.84,5.84,8.72,4.41,0.76,6.58,13.32,2.28,19.88,6.52,1.12,9.73,3.77,0.65,5.63,6.67,1.14,9.96,291.25,49.89,434.7,28.02,4.8,0.605,0.593,0.359,325.94,11.71,0.901,0.109,0.05,0.011,0.031,1.143,1.838,1.754,0.222,0.027,0.014,0.003,0.007,0.266,0.461,3.932,0.14
80,TABOX-3-MS slope,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,slope,P11,80,30,0.34,0.03,10.67,0.345,10.1925,4.1,0.45,7.77,1.61,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.33,127.72,603.91,0,0,0,0,0,205.33,26.42,0.235,0.034,0,0.009,0,0.306,0.474,0.55,0.22,0.032,0,0.01,0,0.28,0.458,1.014,0.034
110,TABOX-3-MS slope,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,slope,P11,110,30,0.31,0.03,11.09,1.605,9.165,4.2,0.45,7.7,1.6,5.08,0,0,0,5.39,3.37,17.13,0,0,0,0,0,0,0,0,0,109.53,68.42,348.1,5.39,3.37,0,0.394,0,114.92,14.92,0.248,0,0,0.016,0,0.266,0.563,0.509,0.225,0,0,0.015,0,0.244,0.518,1.077,0
140,TABOX-3-MS slope,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,slope,P11,140,30,0.13,0.01,8.51,0.564,7.1325,4.2,0.46,3.28,0.7,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.64,365.73,2030.72,0,0,0,0,0,256.64,78.32,0.064,0,0.108,0.016,0,0.176,0.188,0.149,0.116,0,0.174,0.031,0,0.319,0.357,0.536,0
0,TABOX-6-MS valley,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,valley,P12,0,0,4.44,0.44,298.72,21.57,271.02,4.8,0.69,317.97,67.07,15.11,12.42,0.19,2.8,557.31,8.31,125.52,209.96,3.13,47.29,65.03,0.97,14.65,68.7,1.02,15.47,4063.9,60.59,915.29,844.72,12.59,0.63,0.811,0.511,4977.32,15.65,11.177,2.309,0.157,0.674,0.793,14.992,21.384,15.582,0.214,0.046,0.003,0.011,0.014,0.275,0.436,47.71,3.102
20,TABOX-6-MS valley,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,valley,P12,20,20,2.53,0.24,115.61,6.735,107.31,4.65,0.55,184.35,39.55,15.63,11.5,0.29,4.55,216.37,5.47,85.52,69.48,1.76,27.46,14.2,0.36,5.61,135.47,3.43,53.55,1518.2,38.39,600.08,311.55,7.88,0.856,0.784,0.671,1965.22,10.66,4.875,0.8,0.033,0.197,0.193,12.915,12.677,7.856,0.158,0.027,0.001,0.006,0.006,0.378,0.424,30.501,0.993
50,TABOX-6-MS valley,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,valley,P12,50,30,0.7,0.06,52.25,1.5525,50.235,4.7,0.41,30.25,6.38,9.11,6.99,1.1,9.99,36.84,5.78,52.63,11.57,1.81,16.53,4.18,0.66,5.97,7.39,1.16,10.56,451.53,70.79,645.04,59.57,9.34,0.518,0.671,0.348,518.49,17.14,1.127,0.09,0.036,0.044,0.079,1.074,2.403,1.525,0.232,0.019,0.007,0.008,0.015,0.212,0.507,4.641,0.169
80,TABOX-6-MS valley,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,valley,P12,80,30,0.26,0.03,47.01,0.5475,46.35,4.7,0.36,8.07,1.68,6.46,6.42,3.82,24.69,11.82,7.03,45.46,9.24,5.49,35.54,4.18,2.49,16.08,5.23,3.11,20.12,306.56,182.26,1179.08,31.66,18.82,0.525,0.609,0.319,343.45,42.55,0.217,0.016,0.052,0.012,0.023,0.534,0.474,0.354,0.161,0.013,0.045,0.009,0.016,0.39,0.365,1.277,0.039
110,TABOX-6-MS valley,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,valley,P12,110,30,0.2,0.03,55.45,0.4125,54.9525,4.85,0.44,2.07,0.43,2.15,3.82,8.81,19.1,3.17,7.31,15.85,2.48,5.72,12.4,2.56,5.9,12.8,0.4,0.92,2,276.68,637.88,1383.4,12.02,27.71,0.131,0.456,0.06,289.1,139.72,0.022,0,0,0,0,0.177,0.099,0.136,0.077,0,0,0,0,0.566,0.357,0.298,0
140,TABOX-6-MS valley,TABOX-12,18.31388363,-65.74026858,363,Oxisol,Tabonuco,valley,P12,140,30,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999,-6999
